entity,frequency
 ASTRAZENECA PLC,2
 IBRUTINIBCALQUENCE MET PRIMARY EFFICACY ENDPOINT,2
 CHRONIC LYMPHOCYTIC LEUKAEMIA,2
 AZN   AstraZeneca Plc,2
 AstraZenecas New CALQUENCE,2
 ® Data,10
 Mantle Cell Lymphoma,212
 Comparing acalabrutinib,8
 CADTH,8
 L trial,2
 transformationRCHOP,2
 RCHOPacalabrutinibWe,2
 quarter,14
 way,60
 Mit Acalabrutinib,2
 Global Acalabrutinib Market InDepth Analysis Report,2
 Acalabrutinib Market Report,2
 Global Manufacturers,2
 PFS,246
 acalabrutinib arms,4
 ELEVATE CLL TN trial,4
 control,18
 Leucemia linfatica cronica acalabrutinib è approvato,2
 Europa,22
 un beneficio,4
 termini,8
 di efficacia,6
 e tollerabilità lungo termine,4
 nel trattamento,2
 prima linea,2
 quanto nella malattia,2
 o refrattaria,2
   CALQUENCE,16
 adult patients,204
 person,34
 anemic BM,2
 Rai III Dx,2
 BM BxTx,2
 venetoclaxobinutuzumab,6
 obinuFCR AIHA DX DAT,2
 ⬆ ️ t bili,2
 ⬆,8
 ️ldh,2
 ️ reticTx roids,2
 PRCA ⬇ ️ retics,2
 Tx,20
   Rituximab Acalabrutinib,2
 Durvalumab RAD,4
 Primary CNS Lymphoma,2
 Rituximab Acalabrutinib,2
 Primary CNS Lymphoma Status,2
 Condition Summary Primary Central Nervous System Lymphoma PCNSL,2
 rationale,54
 New Comparing acalabrutinib,2
   Product,2
 Monograph Prescribing Info Health Technology Assessments,2
 Access Drug Documents,2
 case,152
    Nuove importanti,2
 combinazione nel,2
 di risposta,2
 completa,2
 e MRD negatività Le parole di Francesca Romana Mauro,2
 Patients,2112
 Results,166
 AstraZenecas Phase,2
 アストラゼネカのアカラブルチニブ（Calquence ® ）、つの試験データによって、慢性リンパ性白血病の患者さんの心血管安全性プロ 〔 アストラゼネカ 〕,2
 ® ） 、 つの試験データによって、慢性リンパ性白血病の患者さんの心血,4
 アストラゼネカのアカラブルチニブ（CalquenceR）、つの試験データによって、慢性リンパ性白血病の患者さんの心血管安全性プロファイルを評価,2
 adult,56
 CLL medication,98
 AZN LR OP Multiple bestinclass oncology portfolio,2
 premium Oncology portfolio,2
 multiple potentially bestinclass assets,2
 Tagrisso Lynparza Calquence Enhertu,2
 Imfinzi,2
 Cancer drug,10
 COVID treatment,8
 ón    Los datos,2
 de,34
 ensayos,4
 clínicos refuerzan su perfil de seguridad,2
 cardiovascular,2
 pacientes con,10
 linfocítica crónica,12
   Los datos,2
 clínicos refuerzan su perfil de seguridad cardiovascular,4
 Kinumpirma ng Department,2
 Health,8
 gagamitin sa World Health Organization,2
 solidarity trial,2
 ng therapeutics,2
 o mga gamot,2
 ang Acalabrutinib,2
 Acalabrutinib hindi,4
 gagamitin sa,4
 decision,8
   pasyente nakumpleto,2
 Acalabrutinibinalis,2
 na sa mga gamot,2
 kasama sa,2
 Nagbigay,2
 ng recommendation,2
 ang,4
 Paggamit ng cancer drug,2
 bilang bahagi ng solidarity trial sa paghanap ng gamot,2
 sa COVID hindi,2
 ng World Health Organization o,2
 NEW Comparing acalabrutinib,2
 Los datos de Calquence de,2
 pacientes con LLC,2
 NewTrip p deletion testing,2
 access,40
 demonstrated safety tolerability profile,6
 Dr Michael Wang,4
    Leucemia linfatica cronica il trattamento con acalabrutinib,2
 monoterapia si caratterizza,2
 l’ottimo profilo di safety,2
 decisivo,2
 nellambito,2
 di,10
 patologia Lintervista,2
 Paolo Ghia,32
 ND,2
 RR MCL,16
 AVO Acalabrutinib,2
 Venettoclax,2
 RO,2
 RR,112
 Low Cardiac Risk,8
 Targeted Oncology,12
 NHS England,4
 Oncology,18
 AstraZenecas Calquence BeiGenes Brukinsa,2
 heads,26
 AZ Calquence,28
 Management,126
 Waldenström Macroglobulinemia,8
 Zanubrutinib,48
 NICE backs,4
 NICE recommendation,4
 Dr Brown,16
 implications,12
 findings,60
 pooled analysis,12
 Eligible patients,2
 Chronic Lymphocytic Leukaemia CLL,6
 Calquence data,12
 trials,78
 cardiovascular safety profile,6
 Clinical Trials,30
 Prescient coverage,6
 Day,62
 Aprobación de acalabrutinib contra leucemia linfocítica crónica,6
 AZ ’ Calquence,36
 data,282
 safety profile,18
 ASH AstraZenecas Calquence BeiGenes Brukinsa,14
 pts,116
 chemo,30
 AstraZeneca Reports LongTerm Efficacy,4
 Tolerability,68
 Calquence acalabrutinib,122
 Pll ACELY Study,4
 MCL,174
 UK   CARAMEL pilot trial,2
 AwesomeCapital ASH AstraZenecas Calquence BeiGenes Brukinsa t,2
 CALQUENCE Data,4
 Trials,22
 Reinforces Cardiovascular Safety Profile,10
 Chronic Lymphocytic Leukemia AZN,2
 CORRECTING REPLACING   CALQUENCE,4
 LongTerm Efficacy,30
 Years,122
 Relapsed Refractory Mantle Cell Lymphoma   Neuro Central,4
 ASH   AstraZenecas Calquence BeiGenes Brukinsa,2
 longterm efficacy,40
 tolerability,70
 Today,98
 Poster session,2
 MD MPH    Phase,2
 Study,384
 RelapsedRefractory BCell Malignancies Intolerant,2
 IbrutinibAcalabrutinib,2
 AZN CALQUENCE Data,6
 Business Wire,14
 CORRECTING,4
 REPLACINGampnbspCALQUENCE Shows LongTerm Efficacy,2
 R,14
 Relapsed Refractory Mantle Cell,4
 Lymphoma,122
 analysis,24
 Calquence Discontinued Treatment,2
 Cardiac Adverse Events,2
 Pooled Analysis,2
 AZN CORRECTING,4
 REPLACING,6
 Relapsed Refractory Mantle Cell Lymphoma,32
 Refractory,34
 Mantle,2
 Calquence trials,2
 CV safety,2
 CLLAZN,2
 AZN BGNE ASH AstraZenecas Calquence BeiGenes Brukinsa,2
 ACELY Phase II trial results substantiate,2
 efficacy safety profile,2
 VIΛ,2
 WICҚƸ︎Đ ✧,2
 FINΛNCIΛL REΛDS,2
 blood cancer AZN,2
 Longterm followup results,2
 years,146
 longterm efficacy tolerability,2
 RR MCL AZN,2
 “ cytokine storms,2
 ASH AstraZeneca,10
 BeiGene,16
 Brukinsa,8
   NEWS ALERT AstraZeneca,2
 Longterm Efficacy,4
 Presentation,8
 ASH   TimeDate Tthinktrade,2
 Calquence BeiGene,4
 AZN Reveals findings,2
 midstage trial,4
 Relapsed Refractory Mantle Cell Lymphoma AZN,2
 Refractory Mantle C,4
 mantle cell,66
 través,2
 acaba,2
 adultos La terapia,2
 ser aplicada por un especialista,2
 fármacos neoplásicos,2
 Congratulations,90
 EMA approval,4
 prescription medicine,8
   Attention   attendees Tune,2
 Dec,20
 Dr Paolo Ghia,4
 Q Acalabrutinib,2
 condition,16
 DOH,6
 Acalabrutinib arm,2
 WHOs Solidarity Trial,2
 evidence,44
 trial,208
 acalabrutinib arm,4
 WHOled Solidarity Therapeutics Trial,4
 anticancer drug,10
 deaths,6
 need,44
   ,44
 Solidarity Trial,2
 COVID Treatments Condition,2
 Covid Interventions    Drug   Remdesivir    Drug   Acalabrutinib    Drug,2
 Zum,2
 Dezember,2
 kommt das Arzneimittel,2
 Acalabrutinib auf den deutschen,2
 Markt Es handelt sich um eine neue Behandlungsoption bei chronisch,2
 lymphatischer ämie CLL,4
 story Acalabrutinib,4
 earlystage data,2
 Headline News,2
 Steals amp Deals,2
 ★ アストラゼネカ、「CALAVI試験は残念な結果に,2
 ✏ Contribuez,2
 AstraZeneca cancer drug,18
 COVID,214
 Phase,480
 Leucemia linfocitica acalabrutinib approvato,2
 UE,2
 EU,366
 Incorporating acalabrutinib,2
 approvals,2
 CLL treatment paradigm,2
 power,16
 combination,412
 Pembrolizumab,50
 PlatinumResistant Metastatic   Carcinoma️,2
 Europäische Kommission hat,2
 mit dem,2
 Wirkstoff,2
 Zulassung für,4
 Behandlung von chronisch,2
 新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とする、アカラブルチニブ（Calquence ® ）CALAVI第Ⅱ相試験の最 〔 アストラゼネカ 〕,2
 アストラゼネカ株式会社、新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ（Calquence）CALAVI第Ⅱ相試験の最新情報,2
   新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ（Calquence）CALAVI第Ⅱ相試験の最新情報,2
 創薬AI,2
 新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ（Calquence）CALAVI第II相試験の最新情報,2
 story Treatment,2
 CLLSLL,56
 MCL   CALQUENCE,2
 recommendation,8
 Presentations,4
 Calquence Efficacy,2
 Longterm Followup,4
 Pooled Safety Data,2
 Chronic Lymphocytic LeukaemiaRelated Tickers,2
 アステラゼネカ,2
 CALAVI Phase II trials,20
 CURE amp AstraZeneca,2
 CALQUENCE Connections,2
 November,30
 PM,26
 ET,12
 Mark,8
 Hospitalized,2
 Related Respiratory Symptoms,2
 BTK阻害薬acalabrutinib、慢性リンパ性白血病を適応にEUで承認取得,2
 CLL Treatment Research Final ASCEND study data Acalabrutinib,2
 standard,44
 care,116
 rr CLL,6
 Calquence   acalabrutinib,2
 Updated CALAVI Phase II trials Results,2
 symptoms,80
 Oncology News Update Acalabrutinib,2
 アストラゼネカのアカラブルチニブ（Calquence ® ）、EUにおいて慢性リンパ性白血病の治療薬として承認取得 〔 アストラゼネカ 〕,2
 年月日【アストラゼネカ｜日】『アカラブルチニブ（Calquence,2
 ） 、 EUにおいて慢性リンパ性白血病の治療薬として承認取得』が公開されています英本社発表抄訳未治療、または再発／難治性患者さんのいずれにおいても大幅な無増悪生存期間の延長と良好な忍容性,2
 BioSpace,16
 COVID study,18
 list,34
 NOVITA NEL TRATTAMENTO DELLA LEUCEMIA LINFATICA CRONICA,2
 Approvato,2
 di   gratuita,2
 alle,2
 Newsletter Xagena,2
 di Medicina,2
 Join CURE amp,2
 PM ET,16
 CALQUENCE Connections Dr Jeff Sharman,2
 Jim,2
 patient,182
 CALAVI Phase II Trials Calquence acalabrutinib,2
 Mortality,4
 Respiratory Failure,2
 de la EMA,2
 Comisión Europea ha aprobado también este,2
 un inhibidor,2
 selectivo de la tirosina kinasa de Bruton,2
 AstraZeneca press release,2
   research,6
 BioPharma Dive,8
 Costco,4
 AstraZenecas AZN Calquence,6
 Coronavirus Study,6
 Fintech Zoom,2
 solo,2
 hay avances,2
 con la vacuna de la COVIDAprobado el,2
 tratamiento contra,2
 la Leucemia linfocítica crónica,2
   demostró una,2
 frontline treatments,22
 focus,10
 AstraZenaca,2
 proportion,2
 hospitalised   patients,2
 La UE aprueba Calquence AstraZeneca,4
 leucemia linfocítica crónica,22
 Covid   le Calquence un traitement efficace contre les chocs,4
   cancer drug,2
 tcouvuaaHxl,2
 COVID respiratory symptomsAcalabrutinib está aprobado para el,2
 tratamiento de adultos con leucemia linfocítica crónica,2
 adultos con linfoma de células del manto,2
 AstraZenecanın umut olan,4
 sisteminde oluşan sorunları baskılaması amaçlanan kan kanseri ilacı Calquencein,4
 La,10
 del inhibidor BTK acalabrutinib al tratamiento,2
 en pacientes hospitalizados con síntomas respiratorios,2
 de la COVID,4
 Update,150
 CALAVI Phase II Trials,2
 Respiratory Symptoms,6
   nieuw goed door EU gekeurd medicijn Calquence Astrazenica voor bloedkankersoorten,2
 een trial geweest ook onder ziekenhuis opname,2
 European Union,6
 nextgeneration BTK inhibitor acalabrutinib,2
 BTK inhibitor Calquence,8
 AstraZenca,6
 Primary Endpoint,22
 PII Studies,4
 todays,18
 roundup,8
 Otro anticuerpo,2
 Acalabrutinib оказался,4
 эффективен,2
 в,14
 İngiltereİsveç ortaklığı olan ünlü,2
 bloodcancer medicine Calquence,6
 AstraZeneca Calquence,38
 COVID tracker Moderna,2
 vaccine review,2
 COVID trial,52
   La UE,2
 aprueba Calquence,2
 Kristin Jensen AZN RHHBY NVS SNY REGN,2
   acalabrutinib,6
 laterstage Covid patients,2
 Disappointing,2
 Ünlü,2
 AstraZenecanın,2
 kanseri ilacı Calquenceın,2
 AwesomeCapital AstraZenecas Calquence,2
 midstage COVID,4
 Kanser ilacı Calquenceın,2
 Yo,2
 ads,4
 shit,2
 failures,2
 BTKi,18
 news FPRX,2
 Надежда AstraZeneca на эффективность противоракового препарата,2
 Calquence в лечении,2
 не,2
 оправдалась,2
 Во,2
 фазе,2
 клин испытаний Calquence,2
 улучшил выживаемость тяжелых пациентов,2
 survival rates,10
 coronavirus patients,32
 cancer drug,50
 írus Medicamento,2
 câncer da AstraZeneca tem resultado,2
 decepcionante,2
 tratamento,2
 da,2
 Pharmaceutical giant AstraZeneca,18
 blood cancer drug Calquence,40
 coronavirus trials,16
 AZNAstraZeneca NASDAQAZN,2
 Phase II results,8
 CALAVI trials,2
 BTK inhibitor Calquence acalabrutinib,6
 SFBN Feed Covid,2
 AstraZenecas attempt,2
 Calquence flops,6
 BTK   Update,2
 Covid roundup AstraZenecas attempt,4
 midstage COVID study,6
   Update,20
 AstraZenecas   drug,2
 disappoints,2
 midstage COVID trials,2
 Après Novartis et,2
 son,8
 canakinumab,2
 Calavi Phase Ii Trials,4
 Covid,18
 Primary EndpointRelated Tickers AZN,2
 blood cancer treatment Calquence,2
 lung failure,2
 drugmaker,2
 midstage trials,2
 El fármaco contra la leucemia calquence desarrollado por,2
 Astrazeneca,6
 ha fracasado,2
 los,6
 que estudiaban,2
 pacientes con coronavirus,10
 CALAVI,6
 AZN acalabrutinib,4
 Covid trial,2
   linfatica cronica,6
 approvato,4
 European Commission,12
 s,80
 TUMORI RARI,4
 LEUCEMIA LINFATICA CRONICA,6
 LLC LA COMMISSIONE EUROPEA HA APPROVATO ACALABRUTINIB,2
 LA CE aprobó el inhibidor selectivo BTK acalabrutinib para,2
 Europe,112
 tweet,14
 pharma,2
 event,36
 CLL courtesy,2
 calquence acalabrutinib,2
   EU,2
 Approves,2
 Chronic Lymphocytic,478
 Leucemia linfatica cronica Acalabrutinib ottiene l’approvazione,2
 El medicamento acalabrutinib,2
 pacientes,6
 situación grave de COVID Publicado,2
 la sección,2
 Venetoclax,1174
 obinutuzumab,238
 NICE acalabrutinib,2
 end,34
 FCR chemotherapy,2
 Leucemia linfatica cronica approvata,2
 libera dalla Commissione europea,2
 acalabrutinib un farmaco,2
 di nuova,2
 il,4
 trattamento,2
 dans,4
 la leucémie lymphoïde chronique tcoRhdGyiKwRQ,2
 Terapia leucemia linfatica cronica acalabrutinib approvato,8
 significativo,2
 e tollerabilità lungo termine nel trattamento,2
 generation BTKi acalabrutinib,2
 CLL Acalabrutinib,4
 EU Approval,8
 whopping   L month,2
 PAP SupportWith,2
 Ibrutinib generic,2
 Learnings,2
 European Union EU,2
 EU approval,6
 AstraZenecas Calquence OKd,2
 AstraZenecas BTK inhibitor Calquence,10
 CLL   AZN,4
 AstraZeneca EU Approves Calquence,2
 Market News Source Nasdaq News,2
 Eu,2
 Chronic Lymphocytic LeukaemiaRelated Tickers AZN,2
 AstraZenecas,2
 drug Calquence,10
 European Union approval,2
   Calquence,14
 PlatinumResistant Metastatic Urothelial Cancer,4
 PlatinumResistant Metastatic Urothelial Carcinoma,4
 chronic lymphocytic   research,2
 Safety Study Supports Acalabrutinib,2
 Combination,334
 Member Richard Furman MD,2
 Mantle Cell Lymphoma MCL,18
 SakigakeDesignated HAE Med Berotralstat AZ,4
 Acalabrutinib Clear PAFSC Review OrphanPacific,2
 REMoDLA CI,2
 Andy Daviestrial design,2
 HDMTX prophylaxis,2
 RCHOP Acalabrutinib,2
 nextgen BTK inhibitor,2
 prolonged progressionfree survival,4
 Dr Richard Furman,74
 Brutons tyrosine kinase BTK inhibitors,2
 ibrutinib acalabrutinib,8
 zanubrutinib,62
 people,316
 Science Global trial,2
 drugs pivots,2
 ACCEPT,4
 vincristine,2
 prednisolone RCHOP,2
 Diffuse Large Bcell Lymphoma DLBCL study protocol,2
 Phase IbII openlabel,2
 ICMR,28
 Interferon,8
 cancer drug Acalabrutinib,8
 Solidarity trial,2
 reportstcoNgrQkEfrH,2
 Acalabrutinib allein oder,2
 Kombination,4
 mit Obinutuzumab zeigt,2
 monoterapia o,2
 combinazione con obinutuzumab ottiene una sopravvivenza libera da progressione progressionfree survival,2
 PFS e una sopravvivenza complessiva,2
 World Health Organization eyes cancer drug,6
 Inclusion,2
 PAFSC Review,2
 Oct,22
 anticancer drug acalabrutinib,4
 MT,18
 Oct     amp   partner,2
 n acalabrutinib,2
 AstraZeneca Pharma India,16
 India,60
 BTK inhibitor,62
 mantle cell lymphoma,176
 Oct   stock trades,4
 Health experts,2
 cancer patients,32
 Health undersecretary Maria Rosario Vergeire,2
 IndiaNews,2
 brand Calquence,4
 HERO MOTO,2
 ने नई Pleasure,2
 की,2
 है,2
 कीमत,2
 रुपए से शुरू,2
 है।ASTRAZENECA,2
 अक्टूबर को देश में Mantle Cell Lymphoma,2
 दवा Calquence,2
 करेगी।PERSISTENT SYSTEMS पर,2
 फोकस अमेरिकी,2
 कंपनी,2
 को,4
 लाख,2
 डॉलर,2
 में,2
 खरीदेगी,2
 AstraZeneca Pharma,10
 October,48
   Pharma   Company,2
 Good Morning,2
 ☀ ️ Exclusive Morning Market News amp,2
 Update ☀,2
 Pharma,10
 Company,66
 import market permission,4
 Drugs Controller General,2
 March,48
 AstraZeneca Pharma   Company,2
 AstraZeneca   Pharma   Drug firm AstraZeneca Pharma India,2
 todays trade,2
 Persistent,4
 USbased CAPIOT Software,4
 m amp AstraZeneca,4
 lymphoma treatment,4
 October KPMG,2
 auditor,2
 effect,50
 UPL material arm,2
 Mauritius   UPL Corporation,2
 combo,44
 ASTRAZENECAAstraZeneca Pharma India,2
 Alert Calquence Medicine,2
 Adults,42
 Acalabrutinib   milligram capsules,2
 types,68
 blood cancers,48
 ASTRAZENECA PHARMA CO,2
 LAUNCH CALQUENCE,2
 INDIA,2
 OCT    CALQUENCE,2
 TREAT ADULTS,2
 MANTLE CELL LYMPHOMA,4
 ASTRAZEN   Launch,2
 Acalabrutinib Mg Capsules Calquence,2
    ड्रग,2
 एकलाब्रुटिनिब,2
 के,2
 मरीजों पर,2
 आजमाना,2
 चाहता है,2
 सरकार के,2
 पैनल के सामने प्रस्ताव,2
 ETIndustryNews ICMR,2
 experts panel,18
 testing,50
 Covid treatment,14
 ⁦⁩,82
 govt,4
 panel,66
 experts,250
 BTK阻害薬acalabrutinibは日本人の再発・難治性CLLSLL、MCLでも忍容性があり有効性示す【日本血液学会,6
 health research bodyIndian Council,2
 Medical Research,6
 government,2
 BTK阻害薬acalabrutinibは日本人の再発・難治性CLLSLL、MCLでも忍容性があり有効性示す【日本血液学会】：がんナビ日本でも早く承認されることを願っています,2
 drugs,70
 App,4
 Medscape Acalabrutinib,2
 govt panel approval,8
 BREAKING   ICMR,2
 Najít účinnou léčbu medikamenty pro onemocnění,2
 covid pomohou,2
 Medscape HematologyOncology Headlinesgtgt Acalabrutinib Bests Frontline CLL Therapies,2
   CLL sequencing ⚠,2
 ️Phase III RCTs st line,2
 RESONATE,52
 amp E OS benefit,2
 🤨 ELEVATETN,2
 🧐 Acalabrutinib,2
 ↔️,2
 ⬇ ️,2
 rashVenetoclax consolidation,2
 UMRD BCL   BTK CD,2
 AZN Phase,6
 Acalabrutinib Study,4
 Relative Bioavailability Proton Pump Inhibitor PPI Rabeprazole Effect Food Effect,6
 Particle Size Effect,6
 New Acalabrutinib Tablet,6
 Healthy Subjects,4
 NCT Estimated Primary Completion Date,36
 日経メディカル,2
 あべ歯科医療ニュースｐｉｃｋUP ★,2
 ★ 福岡市東区・歯周病・インプラント・あべ歯科クリニック,4
 El Instituto Nacional del Cáncer analizó que,2
 con acalabrutinib,2
 puede ser efectivo,2
 combatir el COVID,2
 Información,2
   amp   partner,2
 Trial,104
 blood cancer COVID,6
 Healio,4
 CALQUENCE Drug Profile,4
 Comparative Efficacy,4
 Frontline Treatment,18
 Systematic Review,16
 Network Metaanalysis,6
 acalabrutinib drug,2
 BTK Briton Tyrosine Kinase protein,2
 cytokines,4
 oxygenation,4
 Hydroxychloroquine Remdesivir Calquence Jakafi Olumiant Kineret Ilaris MavrilimumabWhy,2
 l,8
 Phase III ASCEND Randomized Trial,2
 Paolo Ghia MD PhD,10
 Video,28
 Q AstraZeneca,2
 campaign️,2
 September,74
 AwarenessMonth ICYMI Acalabrutinib,2
 treatmentnaïve,20
 pembrolizumabacalabrutinib,2
 progressionfree survival benefit,2
 hypothesis,6
 ASCEND Phase III Randomized Trial,14
 amp,584
 Phase III Clinical TrialBased Early Economic Evaluation,4
 Relapsed Chronic Lymphocytic Leukaemia,8
 Therapeutic Potential,4
 Chronic Lymphocytic Leukemia Short Review,2
 Michael Wang MD,6
 STELLAR UPDATECongratulations,2
 WATCH Jennifer Woyach MD,4
 mantle cell lymphoma MCL,14
 superiority,14
 terms,18
 extended progressionfree survival,2
   LCCC,2
 RelapsedRefractory Primary,4
 Secondary CNS,4
 Lymphomas,10
 LCCC,2
 Lymphomas Status,2
 Condition Summary Lymphoma,2
 WATCH Paolo Ghia MD PhD,2
 Superior PFS,6
 StandardfCare,4
 Sustained Superiority,4
 StandardofCare,4
 Regimens,10
 Relapsed,66
 Dr Woyach,24
 Role,160
 SOHO,6
 Information,10
 CONGRESS,82
 Bortezomib,2
 carfilzomib,2
 NEWS,10
 debate,10
 CLL answer,2
 ASCEND trial,4
 P Ghia     Acalabrutinib,2
    Trials,2
 China,46
 IL blocker tocilizumab trials,2
 Italy,2
 IL blocker anakinra,2
 Mantle cell lymphoma,10
 M,26
 yo,10
 mediastinum xcm amp abdomen,2
 RCHOPRDHAP PETCT,2
 SCI member Steve Coutre,4
 colleagues,66
 progressionfree survival,68
 Phase III Randomized Trial,4
 Idelalisib,148
 Rituximab,518
 Bendamustine,94
 Relapsed Refractory CLL Acalabrutinib,2
 IR BR amp,2
 New   Acalabrutinib   Obinutuzumab,2
 TX,2
 PI Jan Burger MD PhD     NCT,2
 ProgressionFree Survival,60
 Relapsed Refractory CLL,10
 Drs Seema Bhat amp Jennifer Woyach Final ASCEND Results Confirm Acalabrutinib,2
 Standard,18
 Relapsed CLL,14
   Australians,2
 Federal Health Minister,2
 Keytruda,4
 PBS,4
 relapsedrefractory PMBCL amp Calquence Acalabrutinib,2
